order_id,customer_name,order_date,category,sub_category,price,region,city,qty
OD1,Harish,2017-11-08,Oil & Masala,Masalas,852.72,North,Vellore,341
OD2,Sudha,2017-11-08,Beverages,Health Drinks,599.2,South,Krishnagiri,120
OD3,Hussain,2017-06-12,Food Grains,Atta & Flour,2194.8,West,Perambalur,189
OD4,Jackson,2016-10-11,Fruits & Veggies,Fresh Vegetables,806.4,South,Dharmapuri,584
OD5,Ridhesh,2016-10-11,Food Grains,Organic Staples,1436.55,South,Ooty,82
OD6,Adavan,2015-06-09,Food Grains,Organic Staples,1982.3,West,Dharmapuri,103
OD7,Jonas,2015-06-09,Fruits & Veggies,Fresh Vegetables,479.08,West,Trichy,588
OD8,Hafiz,2015-06-09,Fruits & Veggies,Fresh Fruits,1699.24,West,Ramanadhapuram,828
OD9,Hafiz,2015-06-09,Bakery,Biscuits,609.0699999999999,West,Tirunelveli,877
OD10,Krithika,2015-06-09,Bakery,Cakes,1310.35,West,Chennai,663
OD11,Ganesh,2015-06-09,Snacks,Chocolates,1465.31,West,Karur,323
OD12,Yadav,2015-06-09,"Eggs, Meat & Fish",Eggs,392.56,West,Namakkal,677
OD13,Sharon,2018-04-15,Snacks,Cookies,1343.79,South,Dindigul,255
OD14,Peer,2017-12-05,Fruits & Veggies,Fresh Vegetables,1213.15,West,Kanyakumari,948
OD15,Sundar,2016-11-22,"Eggs, Meat & Fish",Chicken,623.25,Central,Kanyakumari,234
OD16,Ramesh,2016-11-22,Oil & Masala,Edible Oil & Ghee,1339.2,Central,Krishnagiri,379
OD17,Alan,2015-11-11,Bakery,Cakes,1359.18,Central,Dharmapuri,334
OD18,Arutra,2015-05-13,Beverages,Health Drinks,1503.81,West,Bodi,837
OD19,Haseena,2015-08-27,"Eggs, Meat & Fish",Mutton,1370.46,West,Tenkasi,332
OD20,Verma,2015-08-27,Beverages,Soft Drinks,532.84,West,Kanyakumari,134
OD21,Hafiz,2015-08-27,Beverages,Health Drinks,313.2,West,Vellore,111
OD22,Alan,2017-12-09,Food Grains,Dals & Pulses,900.6,Central,Karur,725
OD23,Haseena,2017-12-09,Beverages,Soft Drinks,558.53,Central,Krishnagiri,527
OD24,Alan,2018-07-16,Fruits & Veggies,Organic Vegetables,891.48,East,Tenkasi,606
OD25,Sharon,2016-09-25,"Eggs, Meat & Fish",Eggs,605.0,West,Ooty,267
OD26,Krithika,2017-01-16,Snacks,Chocolates,1819.8,West,Tirunelveli,670
OD27,Muneer,2017-01-16,Snacks,Cookies,497.72,West,Trichy,63
OD28,Jackson,2016-09-17,Bakery,Biscuits,577.61,East,Viluppuram,600
OD29,Veronica,2016-09-17,Beverages,Soft Drinks,1113.28,East,Krishnagiri,581
OD30,Shah,2016-09-17,Oil & Masala,Masalas,919.77,East,Kanyakumari,498
OD31,Ramesh,2016-09-17,Beverages,Soft Drinks,1678.95,East,Dharmapuri,559
OD32,Mathew,2016-09-17,Snacks,Noodles,980.0,East,Vellore,973
